Estado,Sorteo,Fecha,Venta_Estado,ID
Distrito Federal,MI SUENO 15,2019/07/20 00:00:00,11728.536363636364,9
Durango,MI SUENO 15,2019/07/20 00:00:00,2057.5454545454545,10
Guanajuato,MI SUENO 15,2019/07/20 00:00:00,3563.727272727273,11
Guerrero,MI SUENO 15,2019/07/20 00:00:00,494.1636363636364,12
Hidalgo,MI SUENO 15,2019/07/20 00:00:00,0,13
Jalisco,MI SUENO 15,2019/07/20 00:00:00,23745.072727272727,14
Estado de Mexico,MI SUENO 15,2019/07/20 00:00:00,2156.836363636364,15
Michoacan de Ocampo,MI SUENO 15,2019/07/20 00:00:00,3155.409090909091,16
Morelos,MI SUENO 15,2019/07/20 00:00:00,1017.0363636363636,17
Nayarit,MI SUENO 15,2019/07/20 00:00:00,2986.5636363636363,18
Nuevo Leon,MI SUENO 15,2019/07/20 00:00:00,79445.95454545454,19
Oaxaca,MI SUENO 15,2019/07/20 00:00:00,0,20
Puebla,MI SUENO 15,2019/07/20 00:00:00,3838.8818181818183,21
