Estado,Sorteo,Fecha,Venta_Estado,ID
Oficina Virtual,TRADICIONAL 204,2017/12/22 00:00:00,21588,33
Aguascalientes,TRADICIONAL 205,2018/06/23 00:00:00,2960,1
Baja California,TRADICIONAL 205,2018/06/23 00:00:00,4543,2
Baja California Sur,TRADICIONAL 205,2018/06/23 00:00:00,3569,3
Coahuila de Zaragoza,TRADICIONAL 205,2018/06/23 00:00:00,13824,5
Colima,TRADICIONAL 205,2018/06/23 00:00:00,3950,6
Chiapas,TRADICIONAL 205,2018/06/23 00:00:00,1333,7
Chihuahua,TRADICIONAL 205,2018/06/23 00:00:00,8660,8
Durango,TRADICIONAL 205,2018/06/23 00:00:00,2389,10
Guanajuato,TRADICIONAL 205,2018/06/23 00:00:00,4481,11
Guerrero,TRADICIONAL 205,2018/06/23 00:00:00,920,12
Hidalgo,TRADICIONAL 205,2018/06/23 00:00:00,1354,13
Jalisco,TRADICIONAL 205,2018/06/23 00:00:00,19305,14
Mexico,TRADICIONAL 205,2018/06/23 00:00:00,16345,15
Michoacan de Ocampo,TRADICIONAL 205,2018/06/23 00:00:00,4472,16
Morelos,TRADICIONAL 205,2018/06/23 00:00:00,1688,17
Nayarit,TRADICIONAL 205,2018/06/23 00:00:00,2916,18
Nuevo Leon,TRADICIONAL 205,2018/06/23 00:00:00,72191,19
Oaxaca,TRADICIONAL 205,2018/06/23 00:00:00,921,20
Puebla,TRADICIONAL 205,2018/06/23 00:00:00,2387,21
Queretaro,TRADICIONAL 205,2018/06/23 00:00:00,7223,22
Quintana Roo,TRADICIONAL 205,2018/06/23 00:00:00,1202,23
San Luis Potosi,TRADICIONAL 205,2018/06/23 00:00:00,3535,24
Sinaloa,TRADICIONAL 205,2018/06/23 00:00:00,12155,25
Sonora,TRADICIONAL 205,2018/06/23 00:00:00,10446,26
Tabasco,TRADICIONAL 205,2018/06/23 00:00:00,3938,27
Tamaulipas,TRADICIONAL 205,2018/06/23 00:00:00,19050,28
Veracruz de Ignacio de la Llave,TRADICIONAL 205,2018/06/23 00:00:00,4588,30
Yucatan,TRADICIONAL 205,2018/06/23 00:00:00,1747,31
Zacatecas,TRADICIONAL 205,2018/06/23 00:00:00,2645,32
Oficina Virtual,TRADICIONAL 205,2018/06/23 00:00:00,23020,33
Aguascalientes,TRADICIONAL 206,2018/12/22 00:00:00,3634.552380952381,1
Baja California,TRADICIONAL 206,2018/12/22 00:00:00,4028.114285714286,2
Baja California Sur,TRADICIONAL 206,2018/12/22 00:00:00,3781.285714285714,3
Coahuila de Zaragoza,TRADICIONAL 206,2018/12/22 00:00:00,15201.252380952381,5
Colima,TRADICIONAL 206,2018/12/22 00:00:00,4513.638095238095,6
Chiapas,TRADICIONAL 206,2018/12/22 00:00:00,0,7
Chihuahua,TRADICIONAL 206,2018/12/22 00:00:00,9430.057142857142,8
Durango,TRADICIONAL 206,2018/12/22 00:00:00,3057.589285714286,10
Guanajuato,TRADICIONAL 206,2018/12/22 00:00:00,5021.828571428572,11
Guerrero,TRADICIONAL 206,2018/12/22 00:00:00,953.4285714285714,12
Hidalgo,TRADICIONAL 206,2018/12/22 00:00:00,0,13
Jalisco,TRADICIONAL 206,2018/12/22 00:00:00,19384.98761904762,14
Mexico,TRADICIONAL 206,2018/12/22 00:00:00,14855.619047619048,15
Michoacan de Ocampo,TRADICIONAL 206,2018/12/22 00:00:00,4780.542857142857,16
Morelos,TRADICIONAL 206,2018/12/22 00:00:00,1560.1904761904761,17
Nayarit,TRADICIONAL 206,2018/12/22 00:00:00,3291.0857142857144,18
Nuevo Leon,TRADICIONAL 206,2018/12/22 00:00:00,79596.43238095238,19
Oaxaca,TRADICIONAL 206,2018/12/22 00:00:00,0,20
Puebla,TRADICIONAL 206,2018/12/22 00:00:00,4553.019047619047,21
Queretaro,TRADICIONAL 206,2018/12/22 00:00:00,8035.93619047619,22
Quintana Roo,TRADICIONAL 206,2018/12/22 00:00:00,1166.0380952380951,23
San Luis Potosi,TRADICIONAL 206,2018/12/22 00:00:00,3935.714285714286,24
Sinaloa,TRADICIONAL 206,2018/12/22 00:00:00,14727.861904761905,25
Sonora,TRADICIONAL 206,2018/12/22 00:00:00,12169.27619047619,26
Tabasco,TRADICIONAL 206,2018/12/22 00:00:00,6728.055238095238,27
