Estado,Sorteo,Fecha,Venta_Estado,ID
Sinaloa,AVENTURATE 14,2019/04/27 00:00:00,9641,25
Sonora,AVENTURATE 14,2019/04/27 00:00:00,7470,26
Tabasco,AVENTURATE 14,2019/04/27 00:00:00,6560,27
Tamaulipas,AVENTURATE 14,2019/04/27 00:00:00,19390,28
Veracruz de Ignacio de la Llave,AVENTURATE 14,2019/04/27 00:00:00,3046,30
Yucatan,AVENTURATE 14,2019/04/27 00:00:00,2067,31
Zacatecas,AVENTURATE 14,2019/04/27 00:00:00,3304,32
Oficina Virtual,AVENTURATE 14,2019/04/27 00:00:00,22726,33
Aguascalientes,AVENTURATE 15,2019/09/06 00:00:00,359.14285714285717,1
Baja California,AVENTURATE 15,2019/09/06 00:00:00,636.5714285714286,2
Baja California Sur,AVENTURATE 15,2019/09/06 00:00:00,606.5,3
Coahuila de Zaragoza,AVENTURATE 15,2019/09/06 00:00:00,2332.642857142857,5
Colima,AVENTURATE 15,2019/09/06 00:00:00,512,6
Chiapas,AVENTURATE 15,2019/09/06 00:00:00,0,7
Chihuahua,AVENTURATE 15,2019/09/06 00:00:00,1904.357142857143,8
Durango,AVENTURATE 15,2019/09/06 00:00:00,518.4285714285714,10
Guanajuato,AVENTURATE 15,2019/09/06 00:00:00,564.1428571428571,11
Guerrero,AVENTURATE 15,2019/09/06 00:00:00,316.7142857142857,12
Hidalgo,AVENTURATE 15,2019/09/06 00:00:00,0,13
Jalisco,AVENTURATE 15,2019/09/06 00:00:00,2831.714285714286,14
Mexico,AVENTURATE 15,2019/09/06 00:00:00,2422.0714285714284,15
Michoacan de Ocampo,AVENTURATE 15,2019/09/06 00:00:00,732.2857142857143,16
Morelos,AVENTURATE 15,2019/09/06 00:00:00,303.14285714285717,17
Nayarit,AVENTURATE 15,2019/09/06 00:00:00,483.2857142857143,18
Nuevo Leon,AVENTURATE 15,2019/09/06 00:00:00,5652.535714285714,19
Oaxaca,AVENTURATE 15,2019/09/06 00:00:00,0,20
Puebla,AVENTURATE 15,2019/09/06 00:00:00,639.4,21
Queretaro,AVENTURATE 15,2019/09/06 00:00:00,971.7142857142858,22
Quintana Roo,AVENTURATE 15,2019/09/06 00:00:00,231.14285714285714,23
San Luis Potosi,AVENTURATE 15,2019/09/06 00:00:00,544.1428571428571,24
Sinaloa,AVENTURATE 15,2019/09/06 00:00:00,1326.2142857142858,25
Sonora,AVENTURATE 15,2019/09/06 00:00:00,1746.4285714285716,26
Tabasco,AVENTURATE 15,2019/09/06 00:00:00,931.6428571428571,27
Tamaulipas,AVENTURATE 15,2019/09/06 00:00:00,3729.25,28
Veracruz de Ignacio de la Llave,AVENTURATE 15,2019/09/06 00:00:00,651.8571428571429,30
Yucatan,AVENTURATE 15,2019/09/06 00:00:00,438.2857142857143,31
Zacatecas,AVENTURATE 15,2019/09/06 00:00:00,610.3928571428571,32
Oficina Virtual,AVENTURATE 15,2019/09/06 00:00:00,27448,33
Aguascalientes,AVENTURATE 16,2020/01/17 00:00:00,323.64,1
Baja California,AVENTURATE 16,2020/01/17 00:00:00,431.29,2
Baja California Sur,AVENTURATE 16,2020/01/17 00:00:00,452.93,3
Coahuila de Zaragoza,AVENTURATE 16,2020/01/17 00:00:00,2008.43,5
Colima,AVENTURATE 16,2020/01/17 00:00:00,562.4300000000001,6
Chiapas,AVENTURATE 16,2020/01/17 00:00:00,0,7
Chihuahua,AVENTURATE 16,2020/01/17 00:00:00,1709.71,8
Durango,AVENTURATE 16,2020/01/17 00:00:00,606,10
Guanajuato,AVENTURATE 16,2020/01/17 00:00:00,670.42,11
Guerrero,AVENTURATE 16,2020/01/17 00:00:00,201.64,12
Hidalgo,AVENTURATE 16,2020/01/17 00:00:00,0,13
Jalisco,AVENTURATE 16,2020/01/17 00:00:00,2779,14
Mexico,AVENTURATE 16,2020/01/17 00:00:00,1942.29,15
Michoacan de Ocampo,AVENTURATE 16,2020/01/17 00:00:00,617.21,16
Morelos,AVENTURATE 16,2020/01/17 00:00:00,181,17
Nayarit,AVENTURATE 16,2020/01/17 00:00:00,534.21,18
Nuevo Leon,AVENTURATE 16,2020/01/17 00:00:00,6894.86,19
Oaxaca,AVENTURATE 16,2020/01/17 00:00:00,0,20
Puebla,AVENTURATE 16,2020/01/17 00:00:00,801,21
Queretaro,AVENTURATE 16,2020/01/17 00:00:00,933,22
Quintana Roo,AVENTURATE 16,2020/01/17 00:00:00,232,23
San Luis Potosi,AVENTURATE 16,2020/01/17 00:00:00,732.21,24
Sinaloa,AVENTURATE 16,2020/01/17 00:00:00,1289.5,25
Sonora,AVENTURATE 16,2020/01/17 00:00:00,1412.21,26
Tabasco,AVENTURATE 16,2020/01/17 00:00:00,960.71,27
Tamaulipas,AVENTURATE 16,2020/01/17 00:00:00,3556.36,28
Veracruz de Ignacio de la Llave,AVENTURATE 16,2020/01/17 00:00:00,651,30
