Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",8.473178408198,8.902809186015,9.050931059961,9.280134767543,9.376365744972,9.267207774398,8.516644886843,9.22442992062,9.409408058351,9.680535700521,9.935791917009,10.282719842871,10.639124278788,10.652822338739,11.043137919006,11.517149043207
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,0.378829027476,0.417837547427,0.48183828424,0.561576925842,0.650004637132,0.703272779418,0.790115753549,0.785171239139,0.782889581779,0.983246254052,1.063120757018,1.131168782135,1.205140704617,1.427985223846,1.504306339141,1.610235281216
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,0.936662565756,1.145224379644,1.085292777622,1.179546882877,1.298013824199,1.399260278018,1.582726049062,1.88823133836,1.798930647187,2.244333459108,2.410518528459,2.431341858668,2.833589447821,2.903202368499,3.013920636075,3.00718558811
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,12.215217915422,12.504232856656,12.699604857564,12.582285620418,12.372618503872,12.759061109181,13.484842420033,13.032491953074,12.565648866168,12.570790446671,12.602631524429,12.567146312173,12.694247331457,12.301083865814,12.08076686431,12.102574363691
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",0.874711901582,0.972552886683,1.048378515738,1.087064462443,1.012986935929,1.166925427969,1.109180359177,0.958953669946,0.955690825248,0.984077928004,1.045639273314,1.006309216199,1.024977048272,0.961697598968,0.945571245016,0.993050726125
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",2.438109498585,2.514913882341,2.582902492362,2.299005904628,2.152186410895,2.0840855409,2.10025782602,1.988059153643,2.040055298672,2.053115823388,2.149484164972,2.069201842777,2.015807945123,1.932560160917,1.977267376474,2.021890830593
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,6.758976763592,6.648963933428,6.743500349577,6.198290906782,5.951750352815,6.022269983818,6.043686532744,5.720089543176,5.124114603986,5.116571916398,5.23379127266,5.017976221756,5.022937570514,4.879051786902,4.7317987918,4.670461149821
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|62---Servicios de salud y de asistencia social<C1>,3.349075553058,3.279857107226,3.227182867235,3.292901370031,3.353636962494,3.469946829736,3.616450111123,3.330359147186,2.957421020866,2.979263739704,2.758780923451,2.522842365169,2.348712210005,2.449494705206,2.317346468648,2.391054586775
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos<C1>",0.29045546974,0.288917680992,0.282922904571,0.291058849335,0.293215069918,0.29000281266,0.296481610111,0.287444492571,0.265343205704,0.264631362067,0.275548304625,0.260662738863,0.267903776458,0.260986525311,0.2555537993,0.258426839081
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas<C1>,4.76233052372,4.699155682554,4.938173629059,4.823912056981,4.102717565649,3.633830184334,4.021868774273,3.758508525045,3.614937882348,3.559384485729,3.143395441421,3.634042666173,3.41173231393,3.40360243025,3.571406966282,3.211441819487
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|81---Otros servicios excepto actividades gubernamentales<C1>,2.344258546028,2.474162519068,2.549863224434,2.473321914746,2.349231622737,2.322711418387,2.397460197863,2.317869882661,2.185658852185,2.199915664064,2.18059796825,2.249912755281,2.230364193281,2.117633124941,2.009394838765,2.004774050736
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales<C1>",6.76178928034,6.687812474873,6.997701418047,6.696720707461,6.322554506293,6.503992712591,6.94887562478,6.422482154334,5.794849958956,5.93113083613,5.663436307534,5.777190424033,6.002152211129,5.616772512684,5.265273202901,5.27978428843
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Total<C1>,74.087855842317,74.154711415181,74.662376677168,79.339142818384,84.800148532451,86.361413913603,83.61939911343,89.684953299106,96.196254692201,99.035076134366,100,102.499639968066,104.30452167075,110.695602040663,115.359295899828,118.253550118316
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias<C1>,101.541270275252,104.653833505265,101.334270604569,106.060899448569,110.599801318498,115.026589730425,94.59805404855,102.521995987734,108.99475841743,97.298322479942,100,101.755883570185,99.422682736641,104.424742960636,109.474075836698,113.42491046037
"Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",101.541270275252,104.653833505265,101.334270604569,106.060899448569,110.599801318498,115.026589730425,94.59805404855,102.521995987734,108.99475841743,97.298322479942,100,101.755883570185,99.422682736641,104.424742960636,109.474075836698,113.42491046037
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,76.259298281574,71.162266022583,66.90399898516,72.857852702199,82.394660748396,82.06028322384,81.277461183528,86.644903229969,98.339457166991,99.952022225535,100,97.576375139745,99.504780407339,100.247341653924,98.741520932912,97.26658390793
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,94.760311854894,87.194115085656,91.518530623891,96.665967551845,104.727755106821,92.784443027288,87.395705021809,99.096438453586,94.513953728536,100.554625176864,100,92.521370023731,80.121379818436,83.089707787749,86.238652248577,88.221388016178
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,94.760311854894,87.194115085656,91.518530623891,96.665967551845,104.727755106821,92.784443027288,87.395705021809,99.096438453586,94.513953728536,100.554625176864,100,92.521370023731,80.121379818436,83.089707787749,86.238652248577,88.221388016178
